Type,Family,Titre,Texte,Medaillon,,Couleur
Carte,Nose,Floral,"Blossom, rose, violet",smell,,
Carte,Nose,Green Fruit,"Apple, Pear, Gooseberry, Grape",smell,,
Carte,Nose,Citrus Fruit,"Lemon, Lime, Grapefruit",smell,,
Carte,Nose,Stone Fruit,"Peach, Apricot, Nectarine",smell,,
Carte,Nose,Tropical Fruit,"Banana, Lychee, Mango, Melon, Passion Fruit, Pineapple",smell,,
Carte,Nose,Red Fruit,"Redcurrant, Cranberry, Rasberry, Strawberry, Red cherry, plum",smell,,
Carte,Nose,Black Fruit,"Blackcurrant, Blackberry, Blueberry, Black cherry",smell,,
Carte,Nose,Dried Fruit,"Fig, Prune, Raisin, Sultana, Kirsch",smell,,
Carte,Nose,Herbaceous,"Grass, Asparagus, Leaf",smell,,
Carte,Nose,Herbal,"Eucalyptus, Mint, Medicinal, Fennel, Dill",smell,,
Carte,Nose,Spice,"Cinnamon, Cloves, Ginger, Nutmag, Vanilla, pepper, liquorice, juniper",smell,,
Carte,Nose,Autolytic,"Yeast, Biscuit, Bread, Toast, Pastry, Lees",smell,,
Carte,Nose,Dairy,"Butter, Cheese, Cream, Yogurt",smell,,
Carte,Nose,Oak,"Vanilla, Toast, Cedar, Charred wood, Smoke, Resinious",smell,,
Carte,Nose,Kernel,"Almond, Coconut, Hazelnut, Walnut, Chocolate, Coffee",smell,,
Carte,Nose,Animal,"Leather, Meaty, Farmyard",smell,,
Carte,Nose,Maturity,"Vegetal, Mushroom, wet leaves, Forest Floor, Game, Savoury, Tobacco, Cedar, Honey",smell,,
Carte,Nose,Mineral,"Earth, Petrol, Rubber, Tar, Stone/Steely, Wet wool",smell,,
